Fecha Hora Temperatura Distancia Laser_pequeño Paso_Madera
2025/1/16 9:57:52 13.01 414 8190 0
2025/1/16 9:57:53 13.01 414 8190 0
2025/1/16 9:57:54 12.77 414 8191 0
2025/1/16 9:57:55 12.83 414 8191 0
2025/1/16 9:57:56 13.01 414 8191 0
2025/1/16 9:57:57 12.95 414 8191 0
2025/1/16 9:57:58 13.11 414 8191 0
2025/1/16 9:57:59 12.95 414 8190 0
2025/1/16 9:58:0 12.77 414 8191 0
2025/1/16 9:58:1 12.95 414 8190 0
2025/1/16 9:58:2 12.83 414 8191 0
2025/1/16 9:58:3 12.81 414 8191 0
2025/1/16 9:58:4 12.97 414 8191 0
2025/1/16 9:58:5 13.11 414 8191 0
2025/1/16 9:58:6 12.91 414 8191 0
2025/1/16 9:58:7 12.77 414 8191 0
