Fecha Hora Temperatura(ºC) Distancia(mm) Madera
2025/1/15 15:26:2 15.17 299.00 0
2025/1/15 15:26:2 15.17 299.00 0
2025/1/15 15:26:2 15.21 298.00 0
2025/1/15 15:26:2 15.21 298.00 0
2025/1/15 15:26:3 15.15 299.00 0
2025/1/15 15:26:3 15.13 299.00 0
2025/1/15 15:26:3 15.23 297.00 0
2025/1/15 15:26:3 15.23 297.00 0
2025/1/15 15:26:3 15.15 298.00 0
2025/1/15 15:26:3 15.15 298.00 0
2025/1/15 15:26:3 15.21 298.00 0
2025/1/15 15:26:3 15.21 298.00 0
2025/1/15 15:26:4 15.19 298.00 0
2025/1/15 15:26:4 15.19 298.00 0
2025/1/15 15:26:4 15.19 297.00 0
2025/1/15 15:26:4 15.21 297.00 0
2025/1/15 15:26:4 15.13 299.00 0
2025/1/15 15:26:4 15.13 299.00 0
2025/1/15 15:26:4 15.15 298.00 0
2025/1/15 15:26:4 15.15 298.00 0
2025/1/15 15:26:5 15.13 299.00 0
2025/1/15 15:26:5 15.13 299.00 0
2025/1/15 15:26:5 15.17 298.00 0
2025/1/15 15:26:5 15.17 298.00 0
2025/1/15 15:26:5 15.13 299.00 0
2025/1/15 15:26:5 15.15 299.00 0
2025/1/15 15:26:5 15.21 299.00 0
2025/1/15 15:26:5 15.23 297.00 0
2025/1/15 15:26:6 15.23 297.00 0
2025/1/15 15:26:6 15.25 298.00 0
2025/1/15 15:26:6 15.25 298.00 0
2025/1/15 15:26:6 15.19 298.00 0
2025/1/15 15:26:6 15.19 298.00 0
2025/1/15 15:26:6 15.19 298.00 0
2025/1/15 15:26:6 15.15 298.00 0
2025/1/15 15:26:6 15.17 298.00 0
2025/1/15 15:26:6 15.17 298.00 0
2025/1/15 15:26:7 15.27 299.00 0
2025/1/15 15:26:7 15.27 299.00 0
2025/1/15 15:26:7 15.19 298.00 0
2025/1/15 15:26:7 15.19 298.00 0
2025/1/15 15:26:7 15.23 299.00 0
2025/1/15 15:26:7 15.23 299.00 0
2025/1/15 15:26:7 15.19 300.00 0
2025/1/15 15:26:8 15.13 299.00 0
2025/1/15 15:26:8 15.15 298.00 0
2025/1/15 15:26:8 15.17 299.00 0
2025/1/15 15:26:8 15.23 298.00 0
2025/1/15 15:26:9 15.11 298.00 0
2025/1/15 15:26:9 15.17 298.00 0
2025/1/15 15:26:9 15.11 298.00 0
2025/1/15 15:26:9 15.25 298.00 0
2025/1/15 15:26:10 15.17 298.00 0
