Fecha,Hora,Corriente(A)
22/1/2025,16:21:20,-0.07
22/1/2025,16:21:20,-0.23
22/1/2025,16:21:20,-0.38
22/1/2025,16:21:20,-0.23
22/1/2025,16:21:20,-0.54
22/1/2025,16:21:20,-0.54
22/1/2025,16:21:20,-0.07
22/1/2025,16:21:20,-0.23
22/1/2025,16:21:20,-0.38
22/1/2025,16:21:20,-0.54
22/1/2025,16:21:21,-0.07
22/1/2025,16:21:21,-0.23
22/1/2025,16:21:21,-0.54
22/1/2025,16:21:21,-0.23
22/1/2025,16:21:21,-0.23
22/1/2025,16:21:21,-0.23
22/1/2025,16:21:21,-0.07
22/1/2025,16:21:21,-0.54
22/1/2025,16:21:21,-0.38
22/1/2025,16:21:21,-0.07
22/1/2025,16:21:22,-0.54
22/1/2025,16:21:22,-0.23
22/1/2025,16:21:22,-0.54
22/1/2025,16:21:22,-0.54
22/1/2025,16:21:22,-0.23
22/1/2025,16:21:22,-0.23
22/1/2025,16:21:22,-0.07
22/1/2025,16:21:22,-0.38
22/1/2025,16:21:22,-0.54
22/1/2025,16:21:22,-0.23
22/1/2025,16:21:23,-0.54
22/1/2025,16:21:23,-0.38
22/1/2025,16:21:23,-0.38
22/1/2025,16:21:23,-0.23
22/1/2025,16:21:23,-0.38
22/1/2025,16:21:23,-0.07
22/1/2025,16:21:23,-0.38
22/1/2025,16:21:23,-0.54
22/1/2025,16:21:23,-0.07
22/1/2025,16:21:23,-0.38
22/1/2025,16:21:24,-0.54
22/1/2025,16:21:24,-0.54
22/1/2025,16:21:24,-0.23
22/1/2025,16:21:24,-0.23
22/1/2025,16:21:24,-0.54
22/1/2025,16:21:24,-0.38
22/1/2025,16:21:24,-0.07
22/1/2025,16:21:24,-0.38
22/1/2025,16:21:24,-0.54
22/1/2025,16:21:24,-0.54
22/1/2025,16:21:25,-0.38
22/1/2025,16:21:25,-0.07
22/1/2025,16:21:25,-0.07
22/1/2025,16:21:25,-0.23
22/1/2025,16:21:25,-0.23
22/1/2025,16:21:25,-0.07
22/1/2025,16:21:25,-0.54
22/1/2025,16:21:25,-0.54
22/1/2025,16:21:25,-0.38
22/1/2025,16:21:25,-0.23
22/1/2025,16:21:26,-0.38
22/1/2025,16:21:26,-0.54
22/1/2025,16:21:26,-0.54
22/1/2025,16:21:26,-0.38
22/1/2025,16:21:26,-0.38
22/1/2025,16:21:26,-0.38
22/1/2025,16:21:26,-0.38
22/1/2025,16:21:26,-0.23
22/1/2025,16:21:26,-0.23
22/1/2025,16:21:26,-0.23
22/1/2025,16:21:27,-0.07
22/1/2025,16:21:27,-0.07
22/1/2025,16:21:27,-0.23
22/1/2025,16:21:27,-0.38
22/1/2025,16:21:27,-0.38
22/1/2025,16:21:27,-0.38
22/1/2025,16:21:27,-0.54
22/1/2025,16:21:27,-0.23
22/1/2025,16:21:27,-0.38
22/1/2025,16:21:27,-0.23
22/1/2025,16:21:28,-0.54
22/1/2025,16:21:28,-0.54
22/1/2025,16:21:28,-0.38
22/1/2025,16:21:28,-0.38
22/1/2025,16:21:28,-0.38
22/1/2025,16:21:28,-0.69
22/1/2025,16:21:28,-0.38
22/1/2025,16:21:28,-0.38
22/1/2025,16:21:28,-0.54
22/1/2025,16:21:28,-0.23
22/1/2025,16:21:29,-0.07
22/1/2025,16:21:29,-0.07
22/1/2025,16:21:29,-0.38
22/1/2025,16:21:29,-0.23
22/1/2025,16:21:29,-0.07
22/1/2025,16:21:29,0.08
22/1/2025,16:21:29,-0.54
22/1/2025,16:21:29,-0.54
22/1/2025,16:21:29,-0.38
22/1/2025,16:21:29,-0.23
22/1/2025,16:21:30,-0.69
22/1/2025,16:21:30,-0.38
22/1/2025,16:21:30,-0.23
22/1/2025,16:21:30,0.24
22/1/2025,16:21:30,-0.38
22/1/2025,16:21:30,-0.54
22/1/2025,16:21:30,-0.07
22/1/2025,16:21:30,0.08
22/1/2025,16:21:30,-0.23
22/1/2025,16:21:30,-0.69
22/1/2025,16:21:31,-0.07
22/1/2025,16:21:31,-0.38
22/1/2025,16:21:31,-0.54
22/1/2025,16:21:31,-0.23
22/1/2025,16:21:31,-0.23
22/1/2025,16:21:31,-0.23
22/1/2025,16:21:31,-0.38
22/1/2025,16:21:31,-0.23
22/1/2025,16:21:31,-0.38
22/1/2025,16:21:31,-0.23
22/1/2025,16:21:32,-0.69
22/1/2025,16:21:32,-0.69
